ts,trig,balls,strikes,outs,half,inning,side,C0B0,C0B1,C0B2,C0B3,C0B4,C0B5,C0B6,C0B7,C0B8,C0B9,C0BA,C0BB,C0BC,C0BD,C0BE,C0BF,C0C0,C0C1,C0C2,C0C3,C0C4,C0C5,C0C6,C0C7,C0C8,C0C9,C0CA,C0CB,C0CC,C0CD,C0CE,C0CF,C0D0,C0D1,C0D2,C0D3,C0D4,C0D5,C0D6,C0D7,C0D8,C0D9,C0DA,C0DB,C0DC,C0DD,C0DE,C0DF,C0E0,C0E1,C0E2,C0E3,C0E4,C0E5,C0E6,C0E7,C0E8,C0E9,C0EA,C0EB,C0EC,C0ED,C0EE,C0EF,C0F0,C0F1,C0F2,C0F3,C0F4,C0F5,C0F6,C0F7,C0F8,C0F9,C0FA,C0FB,C0FC,C0FD,C0FE,C0FF
2025-12-13T11:18:32,00,0,0,0,0,1,表,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
2025-12-13T11:19:57,10,0,0,0,1,1,裏,00,00,00,01,00,00,00,00,06,00,00,00,00,80,80,00,00,00,00,00,01,00,00,00,68,00,2F,00,00,00,1A,00,56,00,00,01,00,01,48,10,00,01,00,00,30,10,00,00,00,00,00,00,00,00,A9,E8,00,00,00,00,00,00,00,00,00,00,02,83,00,00,06,05,0D,02,16,00,00,00,00,00
2025-12-13T11:20:13,20,0,1,0,1,1,裏,00,00,00,01,00,00,00,00,06,00,00,00,00,80,80,00,00,00,01,00,01,00,01,00,68,00,68,00,20,00,1A,00,4A,00,00,01,00,01,48,10,00,01,00,00,30,20,00,00,00,00,00,00,00,00,A9,E8,00,00,00,00,00,00,00,00,00,00,02,37,00,00,05,04,08,02,15,00,00,00,00,84
2025-12-13T11:20:22,30,0,0,1,1,1,裏,00,00,00,01,00,00,00,00,06,00,00,00,00,80,80,00,00,00,00,01,01,00,01,00,68,00,5F,00,20,00,1A,00,55,00,00,01,00,01,49,10,00,01,00,00,30,30,00,00,00,00,00,00,00,00,A9,E8,00,00,00,00,00,00,00,00,00,00,02,67,00,00,05,04,12,02,15,00,00,00,00,00
2025-12-13T11:20:31,40,0,0,2,1,1,裏,00,00,00,01,00,00,00,00,06,00,00,00,00,80,80,00,00,00,00,02,01,00,00,00,68,00,2F,00,00,00,1A,00,56,00,00,01,00,01,47,10,00,01,00,00,30,40,00,00,00,00,00,00,00,00,A9,E8,00,00,00,00,00,00,00,01,00,00,02,7B,00,00,06,05,0C,02,16,00,00,00,00,00
2025-12-13T11:20:43,50,0,0,2,1,1,裏,00,00,00,01,00,00,00,00,06,00,00,00,00,80,80,00,00,00,00,02,01,00,00,00,68,00,2F,00,00,00,1A,00,56,00,00,01,00,01,48,10,00,01,00,00,30,50,00,00,00,00,00,00,00,00,A9,E8,00,00,00,00,00,00,00,00,00,00,02,6D,00,00,06,05,0D,02,16,00,00,00,00,84
2025-12-13T11:20:52,60,0,0,0,2,2,表,00,00,00,01,00,00,00,00,06,00,00,00,00,80,80,00,00,00,00,00,02,00,00,00,68,00,5F,00,20,00,1A,00,55,00,00,01,00,01,47,10,00,01,00,00,30,60,00,00,00,00,00,00,00,00,A9,E8,00,00,00,00,00,00,00,00,00,00,02,78,00,00,06,05,10,02,16,00,00,00,00,82
2025-12-13T11:21:48,70,0,0,1,3,2,裏,00,00,00,01,00,00,00,00,06,00,00,00,00,80,80,00,00,00,00,01,03,00,00,00,68,00,5F,00,20,00,1A,00,54,00,00,01,00,03,46,10,00,01,00,00,60,70,00,00,00,00,00,00,00,00,A9,E8,00,00,00,00,00,00,00,00,00,00,02,82,00,00,06,05,0F,02,16,00,00,00,00,00
2025-12-13T11:21:55,80,0,0,2,3,2,裏,00,00,00,01,00,00,00,00,06,00,00,00,00,80,80,00,00,00,00,02,03,00,00,00,68,00,2F,00,00,00,1A,00,55,00,00,01,00,03,49,10,00,01,00,00,60,80,00,00,00,00,00,00,00,00,A9,E8,00,00,00,00,00,00,00,00,00,00,02,68,00,00,06,05,0E,02,16,00,00,00,00,81
2025-12-13T11:22:07,00,0,0,0,4,3,表,00,00,00,01,00,00,00,00,06,00,00,00,00,80,80,00,00,00,00,00,04,00,00,00,68,00,5F,00,20,00,1A,00,56,00,00,01,00,03,47,10,00,01,00,00,60,00,00,00,00,00,00,00,00,00,A9,E8,98,ED,04,00,00,02,00,00,00,00,02,82,00,00,06,05,10,02,16,00,00,00,00,81
2025-12-13T11:22:51,10,0,0,0,5,3,裏,00,00,00,01,00,00,00,00,06,00,00,00,00,80,80,00,00,00,00,00,05,00,00,00,68,00,2F,00,00,00,1A,00,53,00,00,01,00,05,44,10,00,01,00,00,00,10,00,00,00,00,00,00,00,00,A9,E8,98,ED,05,00,00,00,00,00,00,00,02,84,00,00,06,05,09,02,16,00,00,00,00,00
2025-12-13T11:22:59,20,0,0,0,5,3,裏,00,00,00,01,00,00,00,00,06,00,00,00,00,80,80,00,00,00,00,00,05,00,00,00,68,00,5F,00,20,00,1A,00,55,00,00,01,00,05,47,10,00,01,00,00,00,20,00,00,00,00,00,00,00,00,A9,E8,98,ED,05,00,00,00,00,00,00,00,02,6E,00,00,06,05,10,02,16,00,00,00,00,82
2025-12-13T11:23:10,30,0,0,1,5,3,裏,00,00,00,01,00,00,00,00,06,00,00,00,00,80,80,00,00,00,00,01,05,00,00,00,68,00,5F,00,20,00,1A,00,56,00,00,01,00,05,47,10,00,01,00,00,00,30,00,00,00,00,00,00,00,00,A9,E8,98,ED,05,00,00,00,00,00,00,00,02,74,00,00,06,05,10,02,16,00,00,00,00,84
2025-12-13T11:23:22,40,0,0,2,5,3,裏,00,00,00,01,00,00,00,00,06,00,00,00,00,80,80,00,00,00,00,02,05,00,00,00,68,00,2F,00,00,00,1A,00,56,00,00,01,00,05,48,10,00,01,00,00,00,40,00,00,00,00,00,00,00,00,A9,E8,98,ED,05,00,00,00,00,00,00,00,02,6F,00,00,06,05,0D,02,16,00,00,00,00,84
2025-12-13T11:23:29,50,0,0,0,6,4,表,00,00,00,01,00,00,00,00,06,00,00,00,00,80,80,00,00,00,00,00,06,00,00,00,68,00,2F,00,00,00,1A,00,55,00,00,01,00,05,47,10,00,01,00,00,00,50,00,00,00,00,00,00,00,00,A9,E8,98,ED,05,00,00,00,00,00,00,00,02,76,00,00,06,05,0C,02,16,00,00,00,00,84
