ts,file,home,away,note
20251213_131359,score_snaps/20251213_131359_H0_A1.bin,0,1,AWAY+1
20251213_131440,score_snaps/20251213_131440_H0_A1.bin,0,1,AWAY+1
20251213_131700,score_snaps/20251213_131700_H0_A5.bin,0,5,AWAY+1
20251213_131741,score_snaps/20251213_131741_H0_A6.bin,0,6,AWAY+1
20251213_131806,score_snaps/20251213_131806_H0_A7.bin,0,7,AWAY+1
20251213_132436,score_snaps/20251213_132436_H1_A0.bin,1,0,HOME+1
20251213_132505,score_snaps/20251213_132505_H2_A0.bin,2,0,HOME+1
20251213_132539,score_snaps/20251213_132539_H3_A0.bin,3,0,HOME+1
20251213_132644,score_snaps/20251213_132644_H3_A1.bin,3,1,AWAY+1
20251213_132916,score_snaps/20251213_132916_H3_A2.bin,3,2,AWAY+1
20251213_133300,score_snaps/20251213_133300_H3_A4.bin,3,4,AWAY+1
20251213_133345,score_snaps/20251213_133345_H3_A5.bin,3,5,AWAY+1
20251213_133543,score_snaps/20251213_133543_H3_A6.bin,3,6,AWAY+1
20251213_133610,score_snaps/20251213_133610_H3_A7.bin,3,7,AWAY+1
20251213_133650,score_snaps/20251213_133650_H3_A9.bin,3,9,AWAY+1
20251213_133710,score_snaps/20251213_133710_H4_A9.bin,4,9,HOME+1
20251213_134011,score_snaps/20251213_134011_H4_A10.bin,4,10,AWAY+1
20251213_134038,score_snaps/20251213_134038_H4_A11.bin,4,11,AWAY+1
20251213_134119,score_snaps/20251213_134119_H5_A11.bin,5,11,HOME+1
